control,C11,S1,201407,28.797,39.410,20.197,7.930,2.504,0.268,0.194,0.179,0.238,0.119,0.089,0.015,0.060
control,C11,S2,201407,0.572,2.725,7.032,24.983,36.322,6.898,6.157,5.384,6.763,3.028,0.101,0.017,0.017
control,C11,S3,201407,0.050,0.297,2.343,16.023,24.455,10.050,13.960,11.568,12.541,7.393,1.139,0.132,0.050
control,C11,S4,201407,0.023,0.023,0.045,0.636,7.654,11.333,22.030,22.553,24.120,9.425,1.885,0.250,0.023
control,C11,S5,201407,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
control,C10,S1,201407,96.313,3.450,0.089,0.030,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.000
control,C10,S2,201407,3.069,14.338,11.324,7.484,12.614,8.423,12.628,11.899,12.880,5.018,0.294,0.014,0.014
control,C10,S3,201407,0.000,0.021,0.438,1.230,7.378,9.921,20.383,20.905,23.822,14.402,1.459,0.021,0.021
control,C10,S4,201407,1.072,2.207,5.256,8.687,21.674,13.535,15.767,11.991,11.430,5.447,2.360,0.498,0.077
control,C10,S5,201407,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
control,C9,S1,201407,57.771,29.281,11.823,0.833,0.069,0.014,0.014,0.042,0.056,0.014,0.014,0.014,0.056
control,C9,S2,201407,2.703,8.145,23.685,41.837,19.047,1.552,0.931,0.639,0.712,0.475,0.128,0.037,0.110
control,C9,S3,201407,0.113,1.982,17.840,30.961,39.777,4.908,2.228,0.982,0.868,0.302,0.019,0.000,0.019
control,C9,S4,201407,1.714,4.509,8.246,12.091,23.826,13.743,13.511,8.802,6.779,3.675,2.409,0.602,0.093
control,C9,S5,201407,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
control,C8,S1,201407,16.871,20.556,22.559,16.676,13.616,3.797,3.032,1.474,1.085,0.250,0.014,0.014,0.056
control,C8,S2,201407,0.537,0.813,3.293,10.252,29.337,16.508,16.894,11.410,8.433,2.439,0.014,0.014,0.055
control,C8,S3,201407,0.121,0.341,1.687,4.579,26.692,18.779,19.221,12.613,11.187,4.338,0.402,0.020,0.020
control,C8,S4,201407,3.459,5.474,7.033,11.158,26.991,13.610,12.032,6.938,6.102,3.669,2.946,0.570,0.019
control,C8,S5,201407,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
control,C7,S1,201407,21.366,15.028,18.364,15.285,13.288,4.452,4.228,3.024,3.258,1.595,0.067,0.011,0.033
control,C7,S2,201407,0.000,0.563,3.187,9.433,24.420,13.329,15.583,12.685,14.150,6.391,0.225,0.016,0.016
control,C7,S3,201407,0.163,1.969,7.134,15.098,13.455,10.547,15.405,13.112,14.936,7.603,0.560,0.018,0.000
control,C7,S4,201407,0.000,0.381,1.581,6.001,26.701,20.856,19.472,11.988,7.978,3.728,1.186,0.113,0.014
control,C7,S5,201407,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
control,C6,S1,201407,15.546,13.638,16.001,13.650,13.296,5.372,6.092,5.523,6.964,3.779,0.114,0.013,0.013
control,C6,S2,201407,1.221,1.950,4.153,7.483,21.354,13.269,15.472,13.110,14.918,6.674,0.365,0.016,0.016
control,C6,S3,201407,0.018,0.129,0.333,1.387,5.788,6.268,13.388,19.175,30.104,21.616,1.738,0.018,0.037
control,C6,S4,201407,0.084,1.086,4.711,9.422,29.502,16.789,15.386,9.422,8.002,3.742,1.537,0.301,0.017
control,C6,S5,201407,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
control,C5,S1,201407,18.847,12.869,12.906,10.868,11.231,5.015,6.316,6.328,8.804,6.253,0.488,0.025,0.050
control,C5,S2,201407,1.379,3.408,8.337,13.156,21.557,10.937,13.045,10.731,11.809,5.056,0.412,0.127,0.048
control,C5,S3,201407,0.022,0.044,0.044,1.356,12.692,13.647,19.804,18.915,21.605,11.225,0.600,0.022,0.022
control,C5,S4,201407,0.000,0.021,0.317,6.691,35.817,21.022,17.729,9.329,6.142,2.153,0.718,0.042,0.021
control,C5,S5,201407,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
control,C4,S1,201407,30.419,16.122,13.644,10.095,10.726,4.202,4.563,3.673,4.259,2.141,0.135,0.011,0.011
control,C4,S2,201407,0.592,1.800,5.281,11.451,21.942,11.202,13.014,11.640,14.932,7.188,0.864,0.083,0.012
control,C4,S3,201407,0.047,0.140,0.874,3.464,8.519,6.834,12.124,15.868,26.572,20.830,3.714,0.936,0.078
control,C4,S4,201407,0.000,0.062,4.194,13.719,27.851,17.789,17.211,9.421,6.860,2.273,0.537,0.041,0.041
control,C4,S5,201407,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
control,C3,S1,201407,8.845,12.435,17.095,17.261,16.060,6.075,6.835,5.528,6.776,2.877,0.178,0.024,0.012
control,C3,S2,201407,2.019,4.501,13.054,18.368,23.163,9.605,9.605,7.586,8.777,3.113,0.182,0.014,0.014
control,C3,S3,201407,0.118,0.276,1.323,4.067,11.589,8.154,14.097,14.274,26.259,17.828,1.797,0.197,0.020
control,C3,S4,201407,0.121,0.659,4.199,12.493,27.104,12.736,13.986,10.012,11.643,5.414,1.353,0.260,0.017
control,C3,S5,201407,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
control,C2,S1,201407,5.376,8.526,14.398,16.717,19.105,7.695,9.345,6.957,8.341,3.369,0.162,0.000,0.012
control,C2,S2,201407,0.555,1.182,3.440,8.133,21.766,12.558,17.126,13.651,15.442,5.804,0.305,0.018,0.018
control,C2,S3,201407,0.015,0.232,0.957,2.624,8.320,6.730,13.554,16.085,30.550,17.860,2.563,0.494,0.015
control,C2,S4,201407,0.000,0.113,0.488,3.190,19.478,16.382,21.674,15.838,15.763,6.211,0.732,0.113,0.019
control,C2,S5,201407,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
control,C1,S1,201407,5.790,9.473,15.945,18.611,18.586,7.229,8.667,6.336,7.154,2.083,0.099,0.012,0.012
control,C1,S2,201407,1.716,2.665,6.696,29.630,10.027,14.440,10.526,15.923,6.546,1.382,0.433,0.017,0.000
control,C1,S3,201407,0.238,0.313,1.221,15.515,10.423,19.684,17.183,24.509,8.964,1.578,0.357,0.015,0.000
control,C1,S4,201407,5.206,6.418,9.378,0.000,17.953,8.941,9.993,8.272,9.806,7.657,5.919,5.357,5.090
control,C1,S5,201407,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
treatment,T1,S1,201407,38.893,20.055,16.578,11.294,6.783,1.409,1.295,1.182,1.557,0.864,0.068,0.011,0.011
treatment,T1,S2,201407,2.398,3.238,8.418,16.731,30.154,11.971,11.183,6.860,6.510,2.293,0.210,0.018,0.018
treatment,T1,S3,201407,0.163,0.082,0.735,3.840,19.742,14.986,16.359,13.940,18.238,10.704,0.997,0.196,0.016
treatment,T1,S4,201407,6.295,1.989,1.814,4.330,14.135,10.894,16.183,14.732,15.329,7.290,5.628,1.369,0.012
treatment,T1,S5,201407,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
treatment,T2,S1,201407,44.824,27.576,15.072,5.205,2.662,0.615,1.171,0.438,1.100,0.674,0.497,0.118,0.047
treatment,T2,S2,201407,4.682,12.416,24.215,24.949,21.441,5.254,3.874,1.438,0.939,0.426,0.220,0.103,0.044
treatment,T2,S3,201407,2.768,3.540,4.068,5.631,25.443,16.064,18.795,10.603,10.019,2.976,0.056,0.019,0.019
treatment,T2,S4,201407,0.696,0.458,1.393,3.711,10.795,9.024,17.192,17.501,23.550,10.994,3.701,0.915,0.070
treatment,T2,S5,201407,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
