 ,Area,Mean,Min,Max
1,0.017,255,255,255
2,0.014,255,255,255
3,0.033,255,255,255
4,2.269,255,255,255
5,0.120,255,255,255
6,0.167,255,255,255
7,0.157,255,255,255
8,0.019,255,255,255
9,2.061,255,255,255
10,0.486,255,255,255
11,0.131,255,255,255
12,0.077,255,255,255
13,0.588,255,255,255
14,1.720,255,255,255
15,0.067,255,255,255
16,0.095,255,255,255
17,0.192,255,255,255
18,0.070,255,255,255
19,0.049,255,255,255
20,0.041,255,255,255
21,0.011,255,255,255
22,0.040,255,255,255
23,0.034,255,255,255
24,0.350,255,255,255
25,0.771,255,255,255
26,0.055,255,255,255
27,0.287,255,255,255
28,0.013,255,255,255
29,0.220,255,255,255
30,0.099,255,255,255
31,0.107,255,255,255
32,1.307,255,255,255
33,0.072,255,255,255
34,0.085,255,255,255
35,0.057,255,255,255
36,0.025,255,255,255
37,2.131,255,255,255
38,0.811,255,255,255
39,0.992,255,255,255
40,0.076,255,255,255
41,0.135,255,255,255
42,0.182,255,255,255
43,0.067,255,255,255
44,0.207,255,255,255
45,0.146,255,255,255
46,0.041,255,255,255
47,0.046,255,255,255
48,0.013,255,255,255
49,0.302,255,255,255
50,0.301,255,255,255
51,0.113,255,255,255
52,0.192,255,255,255
53,0.067,255,255,255
54,0.020,255,255,255
55,0.079,255,255,255
56,0.046,255,255,255
57,0.049,255,255,255
58,0.347,255,255,255
59,0.156,255,255,255
60,0.549,255,255,255
61,0.247,255,255,255
62,0.229,255,255,255
63,1.141,255,255,255
64,0.139,255,255,255
65,0.100,255,255,255
66,0.177,255,255,255
67,0.163,255,255,255
68,2.172,255,255,255
69,0.016,255,255,255
70,0.126,255,255,255
71,0.105,255,255,255
72,0.074,255,255,255
73,0.077,255,255,255
74,0.066,255,255,255
75,2.124,255,255,255
76,0.171,255,255,255
77,0.020,255,255,255
78,0.088,255,255,255
79,0.075,255,255,255
80,0.065,255,255,255
81,0.155,255,255,255
82,0.017,255,255,255
83,0.169,255,255,255
84,0.089,255,255,255
85,0.514,255,255,255
86,0.197,255,255,255
87,0.086,255,255,255
88,2.415,255,255,255
89,0.450,255,255,255
90,0.045,255,255,255
91,0.079,255,255,255
92,0.487,255,255,255
93,0.235,255,255,255
94,0.054,255,255,255
95,0.387,255,255,255
96,0.069,255,255,255
97,0.146,255,255,255
98,0.185,255,255,255
99,0.152,255,255,255
100,0.152,255,255,255
101,1.541,255,255,255
102,0.141,255,255,255
103,0.117,255,255,255
104,0.091,255,255,255
105,0.043,255,255,255
106,0.118,255,255,255
107,1.359,255,255,255
108,0.127,255,255,255
109,0.044,255,255,255
110,0.129,255,255,255
111,0.213,255,255,255
112,0.037,255,255,255
113,0.652,255,255,255
114,0.209,255,255,255
115,0.040,255,255,255
116,0.109,255,255,255
117,0.076,255,255,255
118,0.136,255,255,255
119,0.039,255,255,255
120,0.801,255,255,255
121,0.130,255,255,255
122,0.124,255,255,255
123,0.139,255,255,255
124,0.857,255,255,255
125,0.137,255,255,255
126,1.099,255,255,255
127,0.043,255,255,255
128,0.028,255,255,255
129,0.199,255,255,255
130,0.068,255,255,255
131,0.204,255,255,255
132,0.087,255,255,255
133,0.210,255,255,255
134,0.113,255,255,255
135,0.035,255,255,255
136,0.121,255,255,255
137,0.055,255,255,255
138,0.103,255,255,255
139,0.049,255,255,255
140,0.222,255,255,255
141,0.086,255,255,255
142,0.930,255,255,255
143,0.051,255,255,255
144,0.130,255,255,255
145,0.020,255,255,255
146,0.064,255,255,255
147,0.149,255,255,255
148,0.055,255,255,255
149,0.286,255,255,255
150,0.045,255,255,255
151,0.094,255,255,255
152,0.050,255,255,255
153,0.143,255,255,255
154,0.055,255,255,255
155,0.052,255,255,255
156,0.194,255,255,255
157,0.053,255,255,255
158,0.013,255,255,255
159,0.134,255,255,255
160,0.359,255,255,255
161,1.073,255,255,255
162,0.050,255,255,255
163,0.218,255,255,255
164,0.056,255,255,255
165,0.087,255,255,255
166,0.044,255,255,255
167,0.023,255,255,255
168,0.016,255,255,255
169,0.030,255,255,255
170,0.015,255,255,255
171,0.025,255,255,255
172,0.016,255,255,255
173,0.063,255,255,255
174,0.068,255,255,255
175,0.011,255,255,255
176,0.089,255,255,255
177,0.018,255,255,255
178,0.508,255,255,255
179,0.293,255,255,255
180,0.092,255,255,255
181,0.092,255,255,255
182,0.106,255,255,255
183,0.118,255,255,255
184,0.018,255,255,255
185,0.076,255,255,255
186,0.043,255,255,255
187,0.138,255,255,255
188,0.137,255,255,255
189,0.036,255,255,255
190,0.164,255,255,255
191,0.201,255,255,255
192,0.208,255,255,255
193,0.078,255,255,255
194,0.027,255,255,255
195,0.534,255,255,255
196,0.075,255,255,255
197,0.071,255,255,255
198,0.074,255,255,255
199,0.161,255,255,255
200,0.066,255,255,255
201,0.049,255,255,255
202,0.066,255,255,255
203,0.352,255,255,255
204,0.744,255,255,255
205,0.079,255,255,255
206,0.166,255,255,255
207,0.262,255,255,255
208,0.013,255,255,255
209,0.136,255,255,255
210,0.086,255,255,255
211,0.168,255,255,255
212,0.148,255,255,255
213,0.089,255,255,255
214,0.102,255,255,255
215,0.188,255,255,255
216,0.071,255,255,255
217,1.051,255,255,255
218,0.110,255,255,255
219,0.093,255,255,255
220,0.110,255,255,255
221,0.079,255,255,255
222,0.107,255,255,255
223,2.144,255,255,255
224,0.349,255,255,255
225,0.108,255,255,255
226,0.135,255,255,255
227,0.098,255,255,255
228,0.232,255,255,255
229,1.257,255,255,255
230,0.169,255,255,255
231,0.459,255,255,255
232,0.779,255,255,255
233,0.044,255,255,255
234,0.165,255,255,255
235,0.438,255,255,255
236,0.087,255,255,255
237,0.098,255,255,255
238,0.013,255,255,255
239,0.102,255,255,255
240,0.122,255,255,255
241,0.010,255,255,255
242,0.160,255,255,255
243,0.098,255,255,255
244,0.067,255,255,255
245,0.396,255,255,255
246,0.082,255,255,255
247,0.066,255,255,255
248,0.125,255,255,255
249,0.065,255,255,255
250,0.016,255,255,255
251,1.668,255,255,255
252,0.053,255,255,255
253,0.088,255,255,255
254,0.087,255,255,255
255,0.261,255,255,255
256,0.303,255,255,255
257,0.058,255,255,255
258,0.261,255,255,255
259,0.127,255,255,255
260,0.359,255,255,255
261,0.283,255,255,255
262,0.060,255,255,255
263,0.071,255,255,255
264,0.191,255,255,255
265,0.151,255,255,255
266,0.141,255,255,255
267,0.297,255,255,255
268,0.194,255,255,255
269,0.390,255,255,255
270,0.031,255,255,255
271,0.088,255,255,255
272,0.094,255,255,255
273,0.202,255,255,255
274,1.154,255,255,255
275,0.016,255,255,255
276,0.018,255,255,255
277,0.420,255,255,255
278,0.088,255,255,255
