Slice,Count,Total Area,Average Size,%Area,Mean
201708_C01_S1_I1,15,1.300,0.087,0.663,255
201708_C01_S1_I1,159,27.930,0.176,14.245,255
201708_C01_S1_I2,28,1.062,0.038,0.542,255
201708_C01_S1_I2,178,19.912,0.112,10.155,255
201708_C01_S1_I3,31,1.244,0.040,0.635,255
201708_C01_S1_I3,164,19.059,0.116,9.720,255
201708_C01_S2_I1,35,1.469,0.042,0.749,255
201708_C01_S2_I1,154,29.960,0.195,15.280,255
201708_C01_S2_I2,43,2.006,0.047,1.023,255
201708_C01_S2_I2,189,40.986,0.217,20.903,255
201708_C01_S2_I3,30,1.669,0.056,0.851,255
201708_C01_S2_I3,161,37.998,0.236,19.379,255
201708_C01_S3_I1,34,1.275,0.037,0.650,255
201708_C01_S3_I1,233,31.444,0.135,16.036,255
201708_C01_S3_I2,38,1.417,0.037,0.723,255
201708_C01_S3_I2,174,18.998,0.109,9.689,255
201708_C01_S3_I3,32,1.175,0.037,0.599,255
201708_C01_S3_I3,254,31.790,0.125,16.213,255
201708_C01_S4_I1,28,1.212,0.043,0.618,255
201708_C01_S4_I1,173,32.443,0.188,16.546,255
201708_C01_S4_I2,54,2.170,0.040,1.107,255
201708_C01_S4_I2,125,47.521,0.380,24.236,255
201708_C01_S4_I3,26,1.336,0.051,0.681,255
201708_C01_S4_I3,79,20.728,0.262,10.571,255
201708_C01_S5_I1,31,1.534,0.049,0.782,255
201708_C01_S5_I1,307,46.501,0.151,23.716,255
201708_C01_S5_I2,35,2.078,0.059,1.060,255
201708_C01_S5_I2,377,75.433,0.200,38.471,255
201708_C01_S5_I3,33,1.819,0.055,0.928,255
201708_C01_S5_I3,298,37.826,0.127,19.292,255
201708_C02_S1_I1,8,1.300,0.162,0.663,255
201708_C02_S1_I1,125,30.185,0.241,15.395,255
201708_C02_S1_I2,19,0.668,0.035,0.340,255
201708_C02_S1_I2,205,26.946,0.131,13.743,255
201708_C02_S1_I3,38,1.203,0.032,0.614,255
201708_C02_S1_I3,204,34.917,0.171,17.808,255
201708_C02_S2_I1,40,1.181,0.030,0.602,255
201708_C02_S2_I1,156,34.069,0.218,17.375,255
201708_C02_S2_I2,24,1.302,0.054,0.664,255
201708_C02_S2_I2,157,44.588,0.284,22.740,255
201708_C02_S2_I3,34,2.326,0.068,1.186,255
201708_C02_S2_I3,123,23.984,0.195,12.232,255
201708_C02_S3_I1,41,1.255,0.031,0.640,255
201708_C02_S3_I1,343,56.268,0.164,28.697,255
201708_C02_S3_I2,24,1.019,0.042,0.520,255
201708_C02_S3_I2,242,30.596,0.126,15.604,255
201708_C02_S3_I3,36,1.183,0.033,0.603,255
201708_C02_S3_I3,204,42.148,0.207,21.496,255
201708_C02_S4_I1,44,1.966,0.045,1.003,255
201708_C02_S4_I1,250,33.748,0.135,17.212,255
201708_C02_S4_I2,48,2.096,0.044,1.069,255
201708_C02_S4_I2,268,42.592,0.159,21.722,255
201708_C02_S4_I3,45,1.935,0.043,0.987,255
201708_C02_S4_I3,251,31.201,0.124,15.913,255
201708_C02_S5_I1,33,1.381,0.042,0.704,255
201708_C02_S5_I1,167,28.624,0.171,14.599,255
201708_C02_S5_I2,36,1.252,0.035,0.639,255
201708_C02_S5_I2,145,32.158,0.222,16.401,255
201708_C02_S5_I3,64,2.633,0.041,1.343,255
